,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
118,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Mantegades artesania,"1,99 €",0.4kg,"(4,98 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/58396/details
119,Nadal,Mantegades i panettones,-,-,-,BAULI Pandoro,"6,10 €",0.5kg,"(12,20 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/36690/details
120,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Mantegades Vimet,"5,25 €",0.8kg,"(6,56 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/07499/details
121,Nadal,Mantegades i panettones,-,-,-,BAULI Panettone,"6,10 €",0.5kg,"(12,20 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/66392/details
122,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Assortit de mantegades,"1,99 €",0.4kg,"(4,98 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/58398/details
123,Nadal,Mantegades i panettones,-,-,-,GIULIETTA Panettone,"4,30 €",0.9kg,"(4,78 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/31223/details
124,Nadal,Mantegades i panettones,-,-,-,BAULI Panettone amb xocolata,"7,40 €",0.5kg,"(14,80 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/47451/details
125,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Rosca de vi,"1,99 €",0.4kg,"(4,98 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27983/details
126,Nadal,Mantegades i panettones,-,-,-,DALCOLLE Panettone farcit de xocolata,"6,25 €",0.75kg,"(8,33 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/43493/details
127,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Polvorons d'ametlles,"1,99 €",0.4kg,"(4,98 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/58397/details
128,Nadal,Mantegades i panettones,-,-,-,GIULIETTA Pandoro,"3,25 €",0.5kg,"(6,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/16624/details
129,Nadal,Mantegades i panettones,-,-,-,ARTESANIA Figuretes de massapà,"1,25 €",0.1kg,"(12,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27144/details
130,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Assortit de mantegades,"1,99 €",0.3kg,"(6,63 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/22913/details
131,Nadal,Mantegades i panettones,-,-,-,DALCOLLE Pandoro,"5,49 €",0.75kg,"(7,32 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/31225/details
132,Nadal,Mantegades i panettones,-,-,-,BAULI Pandoro de xocolata,"10,95 €",0.75kg,"(14,60 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/09523/details
133,Nadal,Mantegades i panettones,-,-,-,GIULIETTA Panettone de xocolata,"3,25 €",0.5kg,"(6,50 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/31221/details
134,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Assortit de mantegades sense sucre,"2,35 €",0.35kg,"(6,71 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/28067/details
135,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Mantegades Extra,"4,99 €",0.7kg,"(7,13 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/22912/details
136,Nadal,Mantegades i panettones,-,-,-,DALCOLLE Mini panettone Haribo,"1,50 €",0.05kg,"(30,00 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/64837/details
137,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL,NULL,NULL,NULL
138,Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Boletes de coco i xocolata,"2,69 €",0.3L,"(8,97 € per litre)",No,-,https://www.compraonline.bonpreuesclat.cat/products/42605/details
